spotify_id,song_name,feature
3w392XWJ5bXzjcCR2Dmvqn,Foi Intenso - Ao Vivo,"zéneto&cristiano,anacastela,foiintenso(aovivo),2024"
05CEmWl3xGITe99ZZkgl2c,Rwicha,"7liwa,rwicha,2024"
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,"donomar,lucenzo,meettheorphans,2010"
2NxWFEYOxwBCYtp5lEPbs6,Estrella,"emilioromero,estrella,2023"
5LOnarDCzVh4YcN7EOTzRC,IMPARATOR,"sefo,imparator,2023"
6EWPFLaVPVmuhmA7J3ASP8,PRIMER AVISO,"mariabecerra,ivyqueen,primeraviso,2024"
3A9A7mfVDVm3rrS9SMGhg5,Hư không,"kha,tình,2023"
602d2gJewoiF1FivuOMMwE,Disconnect,"beckyhill,chase&status,disconnect,2023"
0vr5BuZbLB5PJnI1jGjfqr,For Me,"marivee,upstrz,forme,2021"
646hgiXWSjmGUwQmp4HiZz,ESQUIRLA,"feid,ferxxocalipsis,2023"
4MQmxIxM5CXKjdq4IrCWhd,Касета,"sadsvit,cassette,2021"
1VGuvYSbcCbHR1yrojYtiu,ياعراقي يعينك الله,"toomyhfr,toomyhfr,2024"
3U5JVgI2x4rDyHGObzJfNf,Unwritten,"natashabedingfield,unwritten,2004"
6sjGsKuInpaK3uoaWGe22W,Från och med Du,"oskarlinnros,viljabli,2010"
22zSEWIqoJuGeRI2CIfHpU,Oscroh (Pepperline),"shallipopi,presidolapluto,2023"
4hqNaY8uNHrPzW4l3ulDSo,Aduh,"maliq&d'essentials,aduh,2023"
0WiJIa3V9GdcJfcy1FhLjp,Deu Moral - Ao Vivo,"zéneto&cristiano,deumoral(aovivo),2024"
0oa3yysoeOsHiB0PBRHzG8,S u m m e r t i m e,"danicpeepner,summertime,2015"
3SOOMT2jytm1J93CTX3Lnb,Zawsze chciałem,"gibbs,jonatan,safe,2023"
3Kvulmj8KcGhbnOhqHFEht,Cua Cua,"jdaly,cuacua,2023"
6xqQDwzjswlToEEHgvA3KM,1000COSAS,"lolaindigo,manuelturizo,1000cosas,2024"
5tsKgj1Xbk5bL7t3QiPWOR,Diz Aí Qual é o Plano?,"mcig,mcryansp,oruam,mcghdo7,mcgp,mcnegomicha,mcph,mcluki,mcpozedorodo,murilloeltnobeat,traplaudo,dizaíqualéoplano?,2024"
2M7BEoyAzxLBKgnFQqUGmF,DOĞUŞTAN BERİ HAKLIYIM (tmm),"lvbelc5,doğuştanberi̇hakliyim(tmm),2024"
1NifMX1JqCz9caJowG8dxq,"ZEIT, DASS SICH WAS DREHT","$ohobani,herbertgrönemeyer,ericson,zeit,dasssichwasdreht,2024"
3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,"ygmarley,praisejahinthemoonlight,2023"
3GY16GkbrhV1hya2TKsaaj,"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)","theacademy:segundamisión,justinquiles,sech,lennytavárez,dalex,dímeloflow,eladiocarrion,bryantmyers,deiv,theacademy:segundamisión,2024"
1BAIaOr39e7FsxRYjbPiyz,โลกที่แบกไว้,"มนัสวีร์,โลกที่แบกไว้,2024"
60BOR51eeN8A3wYIrElggH,אני פה,"oshercohen,odeya,אושר,2023"
4Jc7252S1P99DjQ1lNGEOc,CYBERTRUCK,"badbunny,nadiesabeloquevaapasarmañana,2023"
11P4sSu6BH2lAbWk1sL6cK,Step Into Christmas - Remastered 1995,"eltonjohn,caribou(remastered1995),1974"
1smRP4zRit7A6ZDQXkFJWC,Le Gustan lo' Flaites,"eljoan,celsoelpotente,legustanlo'flaites,2023"
09i3DCifm50ivVqqi3zl9b,Red Dot (feat. Shindy & AJ Tracey),"djjeezy,shindy,ajtracey,reddot(feat.shindy&ajtracey),2023"
7vBNFh3NIZTj6tB5s1IBjE,marjorie,"taylorswift,evermore,2020"
7FDCQfEwJDsOlv655b1Qsv,Alcohol,"emilia,galin,turbulence,2023"
6vdsc40TnfCdZsWj7GecQV,Det Modsatte,"mumle,detmodsatte,2023"
4CJIs5dygfQCbByVKAnK2T,بيكلموني,"ramygamal,خلينيأشوفك,2024"
0h3Xy4V4apMraB5NuM8U7Z,Stumblin' In,"cyril,stumblin'in,2023"
4OqDuY8Yj8Qr0BEMRnmXEK,Нижча зростом,"yaktak,підгітару,2024"
5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,"xavi,lavíctima,2023"
4dUiCEFw6hzX1EIHeN0x8J,R.I.P,"tagne,elgrandetoto,draganov,lmektoub,2023"
3tEzyNbV0BS9AS0HRSsy3Q,High Tension,"shallipopi,shakespopi,2024"
2PYZBeiZ6ofXQR0Ql7BuGS,RIKERUD,"soppgirobygget,rikerud,2024"
1H0pRoGBLCkgNqMaoXvva5,Animal,"werenoi,pyramide,2024"
1fKFxmSByZfjwVSbq0PHye,Si No Te Tengo / Ángel / Aquello Que Pasó,"kepersonajes,sinotetengo/ángel/aquelloquepasó,2021"
5jFUt6Kj7yEXa2nFzjR9UG,Ole,"bvcovia,ynysebi,snoopdogg,ole,2023"
6RqD0fpAaKEZvQd0QrTj7j,Lo Que Tiene,"morad,benyjr,rvfv,loquetiene,2024"
2vlD1APBebhoBy8Ok5lCUB,GEITONIA III,"mg,snik,phen,geitoniaiii,2023"
4UZ91aYQisCeUTyaw0YxZ2,Ibalgin,"viktorsheen,nsd,2016"
6v9Sbtpt6par16uCnlvm98,Sigo Enamorau',"eladiocarrion,yandel,solmaría,2024"
5zdau2dtmOUHF3CJ3odKfb,נתראה בגלגול הבא,"ששוןאיפרםשאולוב,נתראהבגלגולהבא,2023"
7cygxRmLVXDCQWt15xdRXB,FaceTime,"niktendo,bencristovao,hra1,2024"
69MiNNBC02yBnMW1pmakqi,Pégate Más,"rohernandez,jeyjenm,dazh,elfresa,2024"
6lrKA1DMAihPI490Oj0twC,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)","mawhoo,deepsen,kingtalkzin,mthunzi,thechosen,2023"
34uMKnzufwyZJWHLcbaYTz,Ржавый,"кишлак,схик2,2023"
7JNPhwzFNg4pb7wZqfR5ms,"MKK (feat. CowBoii, djygubzin.live & Ranger)","kmat,cowboii,djygubzin.live,ranger,mkk(feat.cowboii,djygubzin.live&ranger),2024"
3wcbaeM7n6Y97JpQQJeNVz,Cheiro de Mato,"gabisaiury,kotim,mcpaivazs,djneeh,cheirodemato,2023"
0PWIrADNjGpiXA3EGjIbTW,maasta taivaaseen,"pehmoaino,soittorasia,2024"
0bC5zT5eItHOF8Oz6RdD12,你的世界,"terencelam,你的世界,2023"
0zVk3uuV9UhxAt48F3OL12,Holy Ghost,"omahlay,holyghost,2023"
2kiC5fopiYY3YbpZvZE3Pf,DECIBEL,"mohelá,naod,decibel,2024"
18ilJfI0M9nkz2O3EnT9cS,AM4,"shimmi,similivinlife,gabriell,benihana,2024"
05wb6MEyJeG2z1MVCIXxC8,15 Piani,"sferaebbasta,x2vr,2023"
2sTDlCxmuZCTDKKk9f1qus,WHERE SHE GOES,"badbunny,nadiesabeloquevaapasarmañana,2023"
